user,item,rating
1,1800029049,5
1,1804857429,4
1,1800030906,5
1,1800018548,5
1,1800256362,4
1,1808438656,4
1,1807428619,3
1,1800373145,4
1,1808403329,4
1,1804738128,5
1,1808405417,5
1,1800030633,4
1,1807858487,3
1,1804763109,4
1,1800030044,4
2,1800019594,5
2,1808478440,1
2,1800353817,5
2,1808403981,3
2,1807428619,5
2,1807592188,4
2,1808403329,4
2,1800026398,1
2,1800137412,1
2,1807743620,4
2,1808440575,1
2,1807858361,1
2,1808418671,1
2,1808405428,1
2,1807432594,5
2,1803454613,5
2,1808404170,1
3,1807751254,5
3,1804476866,5
3,1807432830,5
3,1807566956,4
3,1800180382,4
3,1808429955,5
3,1807816360,5
3,1807743620,5
3,1800019301,5
3,1800352350,4
3,1800019822,5
3,1800019201,5
3,1800090593,5
3,1800019257,5
3,1804487874,5
3,1800353555,5
3,1800311253,5
3,1800194750,5
3,1808404459,5
3,1800024381,5
3,1808396025,5
3,1800018623,5
3,1800444945,5
3,1807463608,3
3,1800018548,5
3,1800024574,5
3,1804379717,2
3,1800422570,4
3,1804398724,3
3,1807634842,5
3,1800025331,5
3,1800310208,4
3,1808500672,4
3,1800024386,5
3,1800071965,5
3,1800350348,5
3,1800416570,4
3,1800417054,4
3,1807993019,5
3,1800355643,3
3,1804749968,3
3,1800196077,5
3,1800359873,5
3,1800125617,4
3,1807776067,5
3,1804738128,5
3,1800025595,4
3,1802957617,5
3,1805535163,5
3,1807645166,5
3,1804383571,5
3,1804379947,5
3,1807537463,5
3,1800350475,5
3,1800139980,5
3,1807634870,3
3,1800366569,3
3,1804476870,5
3,1804856734,5
3,1800219674,5
3,1800168982,5
3,1800019665,5
3,1808421437,5
3,1807426890,4
3,1808404091,4
3,1800021580,5
3,1804383559,4
3,1800018933,3
3,1804318786,5
3,1800221038,4
3,1800135383,5
3,1800020789,5
3,1808404439,5
4,1807816319,3
4,1808428820,3
4,1808412549,4
4,1807428853,4
4,1808403981,3
4,1808404541,4
4,1807428619,4
4,1807592188,3
4,1808412006,3
4,1808440470,4
4,1808418721,2
4,1808404091,3
4,1808420114,3
4,1808403441,4
4,1808404459,3
4,1808405417,4
4,1808418671,3
4,1807432594,5
5,1808403540,4
5,1808440470,5
5,1808451090,1
5,1808404541,4
5,1808431831,1
5,1808405417,5
5,1808412006,5
5,1800067691,1
5,1800099342,5
5,1808405428,5
5,1808429384,5
6,1807540353,5
6,1800213264,5
6,1804104796,5
6,1807745512,4
6,1800019594,5
6,1800353550,5
6,1800256345,4
6,1808403981,5
6,1800215641,5
6,1800023539,5
6,1800080795,5
6,1804383575,4
6,1800071669,5
6,1800080788,5
6,1800359873,4
6,1800024141,5
6,1804738128,5
6,1800252796,5
6,1800021618,5
6,1800024300,5
6,1800258858,4
6,1803454613,5
6,1800019794,5
6,1807428853,4
6,1800334348,5
6,1807537463,5
6,1807812168,5
6,1800350475,5
6,1800022345,5
6,1800026398,3
6,1800068037,1
6,1807426890,3
6,1800249529,5
6,1805537012,5
6,1800020102,5
6,1800021799,5
6,1800019654,4
6,1800026053,5
6,1808405417,5
6,1800024255,5
6,1800285442,5
6,1808405428,5
6,1800359665,5
6,1800321162,5
6,1800026423,5
7,1800107656,5
7,1804713423,5
7,1800269171,5
7,1800256716,5
7,1807432836,5
7,1800161524,5
7,1800353545,5
7,1808404018,5
7,1807426886,5
7,1800169866,5
7,1800051573,5
7,1800235955,5
7,1800233344,5
7,1800057997,4
7,1802761123,5
7,1800022229,4
7,1804770389,5
7,1800194018,5
7,1800367822,5
8,1807859491,5
8,1808428820,5
8,1808481189,5
8,1808404343,5
8,1808429955,5
8,1808403329,5
8,1804383671,5
8,1807816360,2
8,1807858503,5
8,1804857431,4
8,1808404300,5
8,1808420114,5
8,1808403441,1
8,1808405757,5
8,1807599125,3
8,1808405417,5
8,1808419778,5
8,1808429384,5
8,1808404170,1
9,1808406133,5
9,1807859491,1
9,1800353817,5
9,1807993019,5
9,1807592188,4
9,1808485924,4
9,1800022581,5
9,1808405417,4
9,1804383585,3
9,1807432594,5
9,1803454613,4
10,1808440470,5
10,1808418750,4
10,1808403143,1
10,1808404549,3
10,1808404742,3
10,1808435941,4
10,1808405757,5
10,1808439408,5
10,1808405308,5
10,1808412006,1
10,1808420230,5
10,1808435494,4
11,1800019531,5
11,1800181940,5
11,1808410341,5
11,1807863382,4
11,1808405164,5
11,1800027621,5
11,1807428853,5
11,1807812168,4
11,1800139980,4
11,1808419193,4
11,1807592188,4
11,1808403062,5
11,1808405650,5
11,1807784298,5
11,1800018639,3
11,1807858503,3
11,1800421139,4
11,1804486105,5
11,1804738128,5
11,1808405417,5
11,1804770389,4
11,1804892925,4
11,1807838809,4
11,1800253043,4
12,1808403030,5
12,1808465610,4
12,1808405886,4
12,1807592188,4
12,1807428619,5
12,1808403329,4
12,1808415480,1
12,1807839027,3
12,1808404477,4
12,1808402795,5
12,1808405428,5
13,1808467432,5
13,1808415451,5
13,1804713420,5
13,1807858489,5
13,1807428619,5
13,1808481189,5
13,1808429955,5
13,1808429530,4
13,1808415480,4
13,1808440575,3
13,1808416901,5
13,1808403030,5
13,1808443070,5
13,1808404398,5
13,1800420528,5
13,1808437167,4
13,1804857894,5
13,1808416650,4
13,1807634842,4
13,1808404459,5
13,1800025962,5
13,1808412615,4
13,1808429384,4
13,1808404170,3
13,1808404439,5
14,1808467432,5
14,1804857429,5
14,1808441957,1
14,1800043163,5
14,1800305699,5
14,1804713420,5
14,1800360158,5
14,1807812137,5
14,1808440575,1
14,1800230652,5
14,1800018639,5
14,1808437039,5
14,1808404018,5
14,1808443070,5
14,1800023578,5
14,1808405325,5
14,1800025623,5
14,1800247315,1
14,1800341693,5
14,1808405417,5
14,1808429384,5
14,1808404170,1
15,1808412410,4
15,1808439335,5
15,1808457965,5
15,1808485843,4
15,1808456789,4
15,1807993019,4
15,1808429955,3
15,1808435938,5
15,1808498798,3
15,1800145098,5
15,1807743620,3
15,1808402795,4
15,1807839027,3
15,1808403030,4
15,1808488291,4
15,1808406634,3
15,1800019337,5
15,1808465495,4
15,1808416650,3
15,1807599125,3
15,1808465775,3
15,1804738128,5
15,1808404459,4
15,1807432594,4
15,1808465610,4
15,1807428853,4
15,1808431865,5
15,1800018964,5
15,1808465878,3
15,1808481189,3
15,1800075456,5
15,1807428619,4
15,1807592188,3
15,1808403209,2
15,1808403329,4
15,1808421457,4
15,1808466193,3
15,1808412006,4
15,1808433117,4
15,1808456270,4
15,1808437039,4
15,1808416901,4
15,1808406133,4
15,1808414381,5
15,1808411818,3
15,1800138256,1
15,1808405417,4
15,1808405428,5
15,1808404352,4
15,1808429384,4
16,1808465610,5
16,1807428853,2
16,1807537463,5
16,1807859442,4
16,1807993019,3
16,1807428619,5
16,1808429955,4
16,1808403329,3
16,1808402795,4
16,1807839027,4
16,1808437039,5
16,1808416901,4
16,1808406133,5
16,1808442969,3
16,1808421437,4
16,1808418721,3
16,1808403441,1
16,1808416650,4
16,1808405708,4
16,1808402936,3
16,1808405417,5
16,1807432594,5
16,1808404477,5
16,1808405428,5
17,1808465610,4
17,1808467432,4
17,1808446833,5
17,1808412549,4
17,1808431865,4
17,1807428853,3
17,1808404742,5
17,1807592188,2
17,1808429955,4
17,1808435938,5
17,1808409330,4
17,1807839027,4
17,1808402795,4
17,1808456270,5
17,1808437039,4
17,1808443070,5
17,1808404549,3
17,1808405417,4
17,1808405428,4
18,1807437044,5
18,1804090611,5
18,1808405886,5
18,1800328072,5
18,1800018964,5
18,1807428853,1
18,1808404742,1
18,1800341693,5
18,1800198010,5
18,1800353749,2
18,1808405428,3
18,1808437039,5
18,1800025331,5
19,1800020133,5
19,1808465610,3
19,1808405886,4
19,1808404622,5
19,1807592188,2
19,1807428619,5
19,1808429955,3
19,1808481189,5
19,1808412006,4
19,1808415480,2
19,1807839027,4
19,1808402795,1
19,1808416901,4
19,1808403030,5
19,1808404659,3
19,1808404091,5
19,1808405417,5
19,1808405428,5
19,1808410707,2
20,1808447173,5
20,1800070872,5
20,1800068492,5
20,1800341930,1
20,1804713420,5
20,1800341766,5
20,1808418671,3
20,1804892925,5
20,1800353518,5
20,1800021136,5
20,1800018639,4
21,1800025557,5
21,1800279640,5
21,1800114635,5
21,1800124244,4
21,1800120902,5
21,1800306085,5
21,1804749968,5
21,1808404477,4
21,1800062852,5
21,1804851376,5
21,1803470438,5
21,1800118146,5
21,1800353559,5
22,1804383571,2
22,1800353817,5
22,1808412549,3
22,1808404742,5
22,1807812168,3
22,1807993019,2
22,1800294557,5
22,1800192965,5
22,1800022060,2
22,1800353813,2
22,1808416901,2
22,1808421437,4
22,1800108021,5
22,1800023134,2
22,1800362899,5
22,1800025486,5
22,1808405417,5
22,1800444945,2
23,1804857429,4
23,1808418721,2
23,1807428853,4
23,1807858499,2
23,1808435941,4
23,1804126078,3
23,1807428619,4
23,1808403329,4
23,1808405417,4
23,1804749968,3
23,1808405308,4
23,1808435651,3
23,1807432594,4
23,1808402795,3
23,1808435494,3
24,1808405345,5
24,1808465610,2
24,1807816319,5
24,1808418410,1
24,1807428853,5
24,1807761085,5
24,1808404622,1
24,1808481189,4
24,1807859434,2
24,1808463502,1
24,1808437039,5
24,1808491302,1
24,1808406133,3
24,1808414381,5
24,1808418721,1
24,1808404398,3
24,1808405757,5
24,1808450790,4
24,1808416650,5
24,1808411891,3
24,1808404450,1
24,1808405417,5
24,1808509279,5
24,1808435651,4
25,1800177930,5
25,1800023317,5
25,1807537463,5
25,1800184992,5
25,1800047330,5
25,1808404541,5
25,1807592188,3
25,1807428619,5
25,1800114768,5
25,1800068037,5
25,1807432836,5
25,1800086182,5
25,1807839027,4
25,1800216534,5
25,1800120895,5
25,1802817623,4
25,1808404091,5
25,1800359981,3
25,1808420114,2
25,1800124424,3
25,1807634842,4
25,1804738128,5
25,1800131552,5
25,1808405417,5
25,1800072405,5
25,1800126187,5
25,1800060404,5
25,1803454613,4
25,1800135814,5
26,1808403030,5
26,1808443070,5
